ID,CREDITSTATUS,AGE,GENDER,CAMPAIGN,OWNCAR,OWNPROPERTY,CHILDRENCOUNT,FAMSIZE,INCOMETOTAL,INCOMETYPE,EDUCATIONLEVEL,MARITALSTATUS,HOUSINGTYPE,MOBILE,EMAIL,OCCUPATION
5008821,X,35,M,1,Y,Y,0,2,135000,Commercial associate,Secondary / secondary special,Married,House / apartment,Y,N,Laborers
5008824,0,26,M,1,Y,Y,0,2,135000,Commercial associate,Secondary / secondary special,Married,House / apartment,Y,N,Laborers
5008827,C,44,M,3,Y,Y,0,2,180000,Pensioner,Higher education,Married,House / apartment,Y,N,
5008834,C,36,F,1,N,Y,1,2,112500,Working,Secondary / secondary special,Single / not married,House / apartment,Y,N,
5008839,C,41,M,1,N,Y,1,3,405000,Commercial associate,Higher education,Married,House / apartment,Y,N,Managers
5008840,C,24,M,1,N,Y,1,3,405000,Commercial associate,Higher education,Married,House / apartment,Y,N,Managers
5008842,0,25,M,2,N,Y,1,3,405000,Commercial associate,Higher education,Married,House / apartment,Y,N,Managers
5008843,C,33,M,1,N,Y,1,3,405000,Commercial associate,Higher education,Married,House / apartment,Y,N,Managers
5008846,0,41,M,1,Y,Y,0,2,112500,Commercial associate,Secondary / secondary special,Married,House / apartment,Y,N,Drivers
5008850,0,49,M,3,Y,Y,0,2,112500,Commercial associate,Secondary / secondary special,Married,House / apartment,Y,N,Drivers
5008852,0,24,M,2,Y,Y,0,2,112500,Commercial associate,Secondary / secondary special,Married,House / apartment,Y,N,Drivers
5008855,C,56,F,1,Y,Y,2,4,135000,Working,Secondary / secondary special,Married,House / apartment,Y,N,Laborers
5008858,C,41,F,0,Y,Y,2,4,135000,Working,Secondary / secondary special,Married,House / apartment,Y,N,Laborers
5008861,0,78,F,23,Y,Y,2,4,135000,Working,Secondary / secondary special,Married,House / apartment,Y,N,Laborers
5008872,0,30,M,2,Y,Y,0,2,360000,Commercial associate,Secondary / secondary special,Married,House / apartment,Y,N,Security staff
5008873,C,34,F,1,N,Y,2,4,126000,Commercial associate,Higher education,Married,House / apartment,Y,Y,Managers
5008876,C,39,F,0,N,Y,2,4,126000,Commercial associate,Higher education,Married,House / apartment,Y,Y,Managers
5008881,C,35,F,1,N,Y,2,4,126000,Commercial associate,Higher education,Married,House / apartment,Y,Y,Managers
5008891,C,33,F,2,N,Y,0,1,297000,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,Y,N,Laborers
5008912,C,42,F,2,N,Y,0,1,297000,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,Y,N,Laborers
5008919,C,30,F,0,N,Y,0,1,297000,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,Y,N,Laborers
5008922,C,27,F,1,N,Y,0,1,297000,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,Y,N,Laborers
5008924,C,38,F,1,N,Y,0,1,297000,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,Y,N,Laborers
5008925,C,90,F,34,N,Y,0,1,297000,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,Y,N,Laborers
5008926,0,27,F,3,N,Y,0,1,297000,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,Y,N,Laborers
5008928,1,50,F,6,N,Y,0,1,297000,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,Y,N,Laborers
5008930,0,49,F,32,N,Y,0,1,297000,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,Y,N,Laborers
5008931,C,31,F,1,N,Y,0,1,297000,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,Y,N,Laborers
5008932,0,56,F,0,N,Y,0,1,297000,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,Y,N,Laborers
5008934,C,47,F,16,N,Y,0,1,297000,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,Y,N,Laborers
5008938,C,76,F,0,N,Y,0,1,297000,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,Y,N,Laborers
5008947,X,31,M,1,N,Y,0,2,135000,Working,Secondary / secondary special,Married,House / apartment,Y,N,Drivers
5008949,X,29,M,1,N,Y,0,2,135000,Working,Secondary / secondary special,Married,House / apartment,Y,N,Drivers
5008950,X,50,M,0,N,Y,0,2,135000,Working,Secondary / secondary special,Married,House / apartment,Y,N,Drivers
5008958,0,32,F,1,Y,Y,0,2,135000,Working,Secondary / secondary special,Married,House / apartment,Y,N,Laborers
5008960,C,26,F,2,Y,Y,0,2,135000,Working,Secondary / secondary special,Married,House / apartment,Y,N,Laborers
5008963,C,34,F,1,Y,Y,0,2,135000,Working,Secondary / secondary special,Married,House / apartment,Y,N,Laborers
5008976,0,84,F,19,N,Y,0,2,112500,Pensioner,Secondary / secondary special,Married,House / apartment,Y,N,
5008977,0,59,F,3,N,Y,0,2,112500,Pensioner,Secondary / secondary special,Married,House / apartment,Y,N,
5008984,C,38,M,1,Y,Y,0,2,112500,State servant,Secondary / secondary special,Married,House / apartment,Y,N,Drivers
5008986,X,41,M,1,Y,Y,0,2,112500,State servant,Secondary / secondary special,Married,House / apartment,Y,N,Drivers
5008987,C,50,M,1,Y,Y,0,2,112500,State servant,Secondary / secondary special,Married,House / apartment,Y,N,Drivers
5008988,X,30,M,52,Y,Y,0,2,112500,State servant,Secondary / secondary special,Married,House / apartment,Y,N,Drivers
5009016,C,26,F,1,N,Y,2,4,216000,State servant,Higher education,Married,House / apartment,Y,Y,
5009019,0,31,F,0,N,Y,2,4,216000,State servant,Higher education,Married,House / apartment,Y,Y,
5009023,C,45,F,13,N,Y,2,4,216000,State servant,Higher education,Married,House / apartment,Y,Y,
5009029,C,47,F,1,Y,Y,0,2,225000,Commercial associate,Secondary / secondary special,Married,House / apartment,Y,N,Laborers
5009032,C,30,F,1,N,Y,0,1,315000,Working,Secondary / secondary special,Single / not married,House / apartment,Y,N,Accountants
5009035,X,29,F,1,N,N,0,2,255150,Pensioner,Incomplete higher,Civil marriage,Rented apartment,Y,N,
5009074,0,32,F,3,Y,Y,1,3,450000,State servant,Higher education,Married,House / apartment,Y,Y,Core staff
5009079,C,34,F,1,N,Y,0,2,112500,Working,Higher education,Civil marriage,House / apartment,Y,Y,Laborers
5009080,C,29,F,2,N,Y,0,2,112500,Working,Higher education,Civil marriage,House / apartment,Y,Y,Laborers
5009084,0,35,M,0,N,Y,0,2,90000,Working,Secondary / secondary special,Married,House / apartment,Y,N,Drivers
5009089,0,23,M,3,Y,N,2,4,202500,Commercial associate,Higher education,Married,House / apartment,Y,N,Laborers
5009092,1,34,M,48,Y,Y,1,3,765000,Working,Higher education,Married,House / apartment,Y,N,Managers
5009103,C,55,M,1,Y,Y,2,4,157500,Working,Secondary / secondary special,Married,With parents,Y,N,Drivers
5009106,X,33,M,0,Y,Y,2,4,157500,Working,Secondary / secondary special,Married,With parents,Y,N,Drivers
5009110,0,30,F,5,N,Y,0,2,112500,Commercial associate,Higher education,Married,House / apartment,Y,Y,High skill tech staff
5009129,C,29,F,0,N,N,0,1,157500,Commercial associate,Higher education,Separated,With parents,Y,N,
5009143,C,48,M,3,Y,N,0,2,225000,Pensioner,Secondary / secondary special,Civil marriage,House / apartment,Y,N,
5009152,C,29,F,6,N,N,0,2,180000,Working,Secondary / secondary special,Married,House / apartment,Y,N,Sales staff
5009154,C,40,F,17,N,N,0,2,180000,Working,Secondary / secondary special,Married,House / apartment,Y,N,Sales staff
5009158,C,31,F,1,N,N,0,2,180000,Working,Secondary / secondary special,Married,House / apartment,Y,N,Sales staff
5009159,C,45,F,1,N,N,0,2,180000,Working,Secondary / secondary special,Married,House / apartment,Y,N,Sales staff
5009160,C,42,F,9,N,N,0,2,180000,Working,Secondary / secondary special,Married,House / apartment,Y,N,Sales staff
5009161,C,42,F,2,N,N,0,2,180000,Working,Secondary / secondary special,Married,House / apartment,Y,N,Sales staff
5009180,C,93,M,8,Y,N,0,2,229500,Working,Incomplete higher,Married,Co-op apartment,Y,N,Laborers
5009192,C,57,F,1,N,N,0,2,270000,Working,Higher education,Married,House / apartment,Y,N,Managers
